Name,GAR,AAV,Age,Pos
Mark.Alt,0,0.782,22,D
Julien.Brouillette,0,0.6,27,D
Blair.Jones,0,0.6,27,C
Brody.Sutter,0,0.577,22,C
Harry.Zolnierczyk,0,0.65,27,W
Jesse.Blacker,0,0.55,23,D
Peter.Regin,0,0.65,28,C
Drayson.Bowman,0,0.575,25,W
Joel.Armia,0,0.902,21,W
Dominik.Uher,0,0.585,21,C
David.Wolf,-0.2,0.868,25,W
Brendan.Ranford,0,0.61,22,W
Max.Friberg,0,0.777,21,W
Patrick.Bordeleau,0,1,28,W
Colton.Orr,0,0.925,32,W
Rich.Clune,0,0.85,27,W
Scott.Wilson,-0.1,0.655,22,W
Jeff.Zatkoff,0,0.6,27,G
Rob.Zepp,0,0.6,33,G
Erik.Gudbranson,0,2.5,22,D
Mike.Angelidis,0,0.65,29,W
Tyler.Wotherspoon,-0.1,0.925,21,D
Colby.Robak,0,0.675,24,D
Maxim.Lapierre,-9.1,1.1,29,C
Steve.Oleksy,0,0.542,28,D
Troy.Bodie,0,0.6,29,W
Dana.Tyrell,0,0.655,25,C
Richard.Bachman,0,0.615,27,G
Colin.Fraser,0,0.65,29,C
Darnell.Nurse,0,0.894,19,D
Cody.Ceci,-2.1,0.894,20,D
Shayne.Gostisbehere,0,0.925,21,D
Matt.Donovan,-0.4,0.827,24,D
Andrew.Agozzino,0,0.59,23,W
Drew.Shore,-1.2,0.9,23,C
Michael.Paliotta,0,0.925,21,D
Will.Acton,0,0.665,27,C
Mark.Stuart,-2.8,2.625,30,D
Josh.Manson,0,0.925,22,D
Corban.Knight,-0.1,0.9,24,C
Alexander.Khokhlachev,-0.1,0.787,21,C
Tyler.Gaudet,-0.1,0.925,21,C
Stefan.Matteau,-0.1,0.843,20,W
Braydon.Coburn,-5,4.5,29,D
Ryan.Bourque,-0.1,0.562,23,W
Kyle.Baun,-0.1,0.859,22,W
Colin.Smith,-0.1,0.628,21,C
Jake.McCabe,-0.1,0.925,20,D
Antti.Niemi,-0.1,3.8,31,G
Tomas.Vincour,-0.1,0.6,23,W
John.Ramage,-0.1,0.69,23,D
Oliver.Lauridsen,-0.1,0.6,25,D
Kevin.Fiala,-0.3,0.925,18,W
Brandon.Kozun,-0.1,0.55,24,W
Teemu.Pulkkinen,-0.1,0.698,22,W
Philip.Samuelsson,-0.1,0.55,23,D
Chad.Ruhwedel,-0.1,0.65,24,D
Ben.Street,-0.1,0.65,27,C
Ryan.Wilson,-0.1,2.25,27,D
Tyler.Graovac,-0.1,0.748,21,C
Thomas.Greiss,-0.1,1,28,G
Ron.Hainsey,-0.1,2.833,33,D
Chris.Thorburn,-1,1.2,31,W
Sven.Andrighetto,-0.1,0.633,21,W
Tyler.Myers,-6.6,5.5,24,D
Brandon.Defazio,-0.1,0.6,26,W
Adam.Clendening,-0.1,0.743,21,D
David.Warsofsky,-0.1,0.6,24,D
Frederik.Andersen,-3.7,1.15,24,G
Nate.Schmidt,-0.1,0.625,23,D
Drew.Miller,-4.7,1.35,30,W
David.van.Der.Gulik,-0.2,0.55,31,W
Bogdan.Yakimov,-0.2,0.843,19,C
Brett.Kulak,-0.2,0.657,20,D
Joe.Piskula,-0.2,0.55,30,D
Dylan.McIlrath,-0.2,0.703,22,D
Devante.Smith-Pelly,-4.1,0.8,22,C
Mike.Blunden,-0.2,0.6,27,W
Luke.Adam,-0.2,0.65,24,W
